eval,event,obj,cv,dou,mean,std,s_star,s_lo,s_hi,sim_s,P0=P1,P2,P3,P4,P5,P6,P7,PPFD_per_W
114,infeas,1.0,1.0,0.0,0.0,0.0,inf,1.0483189229226262,0.8806114537501823,0.0,52.46514337968152,62.00462994722953,62.00462994722953,52.46514337968152,90.84596805925139,38.15632735931477,76.31265466181604,0.20006133584479746
115,skipped,1.0715496237219866,1.0,0.0,0.0,0.0,0.8596572944985628,0.9760507322030604,0.9760507329297141,0.0,55.00020261924226,65.00062690669162,65.00062690669162,55.00020261924226,57.76328015666128,40.00000001488967,79.99999997022064,0.20006133584479746
116,skipped,1.0973059802911032,1.0,0.0,0.0,0.0,0.8491799822228948,1.0135549048878398,1.0135549056424147,0.0,55.00020261924228,65.00062690669165,65.00062690669165,55.00020261924228,75.21008227139893,40.00000001488967,79.99999997022068,0.20006133584479746
117,skipped,1.0880310030252622,1.0,0.0,0.0,0.0,0.853778790890795,1.0005826086374403,1.0005826093823573,0.0,55.00020261924226,65.00062690669162,65.00062690669162,55.00020261924226,68.72515948829681,40.000000014889665,79.99999997022066,0.20006133584479746
118,skipped,1.0782475084663008,1.0,0.0,0.0,0.0,0.8576529401832692,0.986275623902267,0.9862756246365327,0.0,55.00020261924226,65.00062690669164,65.00062690669164,55.00020261924226,62.13455650928379,40.00000001488967,79.99999997022067,0.20006133584479746
119,skipped,1.0846192524513274,1.0,0.0,0.0,0.0,0.8552499294902347,0.9956715692909712,0.9956715700322321,0.0,55.00020261924226,65.00062690669164,65.00062690669164,55.00020261924226,66.39843609509624,40.000000014889665,79.99999997022067,0.20006133584479746
120,skipped,1.080890078644771,1.0,0.0,0.0,0.0,0.8567125351570241,0.990209394866224,0.9902093956034185,0.0,55.000202619242266,65.00062690669165,65.00062690669165,55.000202619242266,63.890222940116736,40.00000001488967,79.99999997022066,0.20006133584479746
121,skipped,1.0833351097867594,1.0,0.0,0.0,0.0,0.8557710774454498,0.9938020875685027,0.9938020883083719,0.0,55.000202619242266,65.00062690669165,65.00062690669165,55.000202619242266,65.53064443795371,40.00000001488967,79.99999997022067,0.20006133584479746
122,skipped,1.081911817983703,1.0,0.0,0.0,0.0,0.8563273182648521,0.9917160992928215,0.9917161000311374,0.0,55.00020261924226,65.00062690669164,65.00062690669164,55.00020261924226,64.57384557891508,40.000000014889665,79.99999997022067,0.20006133584479746
123,skipped,1.082847381466634,1.0,0.0,0.0,0.0,0.8559642394073173,0.9930889359139053,0.9930889366532435,0.0,55.00020261924226,65.00062690669164,65.00062690669164,55.00020261924226,65.20217903515153,40.00000001488967,79.99999997022067,0.20006133584479746
124,skipped,1.0823038960363027,1.0,0.0,0.0,0.0,0.8561763553521593,0.9922922140579187,0.9922922147966641,0.0,55.000202619242266,65.00062690669162,65.00062690669162,55.000202619242266,64.83689253861817,40.00000001488967,79.99999997022066,0.20006133584479746
125,skipped,1.0826614896823497,1.0,0.0,0.0,0.0,0.8560371629303586,0.9928166713180631,0.9928166720571987,0.0,55.00020261924225,65.00062690669164,65.00062690669164,55.00020261924225,65.07715140585793,40.00000001488967,79.99999997022066,0.20006133584479746
126,skipped,1.0824539205680492,1.0,0.0,0.0,0.0,0.8561181333301543,0.9925123586326621,0.9925123593715711,0.0,55.00020261924226,65.00062690669162,65.00062690669162,55.00020261924226,64.93765011138746,40.000000014889665,79.99999997022066,0.20006133584479746
127,skipped,1.082590544241362,1.0,0.0,0.0,0.0,0.8560648922481386,0.9927126952014699,0.992712695940528,0.0,55.00020261924225,65.00062690669164,65.00062690669164,55.00020261924225,65.02945840385061,40.000000014889665,79.99999997022066,0.20006133584479746
128,skipped,1.0825112633735792,1.0,0.0,0.0,0.0,0.8560958128083199,0.9925964592651709,0.9925964600041425,0.0,55.00020261924226,65.00062690669164,65.00062690669164,55.00020261924226,64.97617739138661,40.000000014889665,79.99999997022066,0.20006133584479746
